lamb heart,lamb,
rice vermicelli,rice,vermicelli,
blanc sausage,blanc,sausage,
grenadine syrup,grenadine,syrup,
corn tortilla,corn,tortilla,
beef marrow,beef,marrow,
onion squash,onion,squash,
lamb forequarter,lamb,forequarter,
shrimp stock,shrimp,
anise liqueur,anise,liqueur,
sour mix,mix,
kosher salt,kosher,salt,
sweet onion,sweet,onion,
green lentil,lentil,
pear nectar,pear,nectar,
avocado oil,avocado,oil,
madeira wine,madeira,wine,
venison chop,venison,
mustard sprout,mustard,sprout,
chickpea flour,chickpea,flour,
dog bun,bun,
cockle clam,cockle,clam,
turkey stock,turkey,
pumpkin squash,pumpkin,squash,
beef mince,beef,mince,
chipotle pepper,chipotle,pepper,
sweet sausage,sweet,sausage,
monkfish liver,monkfish,liver,
pork schnitzel,pork,schnitzel,
chile paste,chile,paste,
tuna loin,tuna,loin,
spaghettini pasta,spaghettini,pasta,
tagliatelle pasta,tagliatelle,pasta,
cherry syrup,cherry,syrup,
anchovy oil,anchovy,oil,
apple liqueur,apple,liqueur,
green cabbage,cabbage,
rice vinegar,rice,vinegar,
walnut liqueur,walnut,liqueur,
rice flour,rice,flour,
sweet paprika,sweet,paprika,
camembert cheese,camembert,cheese,
pickle juice,pickle,juice,
lamb rib,lamb,rib,
meat sauce,meat,sauce,
macaroni pasta,macaroni,pasta,
tart apple,tart,apple,
sherry vinegar,sherry,vinegar,
peach liqueur,peach,liqueur,
daikon radish,daikon,radish,
truffle oil,truffle,oil,
soup mix,soup,mix,
cocktail onion,cocktail,onion,
swordfish steak,swordfish,steak,
lamb shoulder,lamb,shoulder,
truffle juice,truffle,juice,
cream sherry,cream,sherry,
roquefort cheese,roquefort,cheese,
amontillado sherry,amontillado,sherry,
peach brandy,peach,brandy,
venison loin,venison,loin,
fish stock,fish,
pork hock,pork,hock,
couverture chocolate,couverture,chocolate,
green orach,orach,
green chilli,chilli,
citron vodka,citron,vodka,
napa cabbage,napa,cabbage,
pork mince,pork,mince,
pork offal,pork,offal,
breakfast sausage,breakfast,sausage,
rioja wine,rioja,wine,
amaranth green,amaranth,
green apple,apple,
haricot blanc,haricot,blanc,
lamb stock,lamb,
rabbit rib,rabbit,rib,
beef sirloin,beef,sirloin,
turkey mince,turkey,mince,
lemon rum,lemon,rum,
onion soup,onion,soup,
liquorice paste,liquorice,paste,
corn flour,corn,flour,
green walnut,walnut,
vegetable bouillon,vegetable,bouillon,
duck liver,duck,liver,
almond meal,almond,meal,
green almond,almond,
bread flour,bread,flour,
apple brandy,apple,brandy,
vanilla sugar,vanilla,sugar,
cod roe,cod,roe,
raspberry liqueur,raspberry,liqueur,
raspberry vinegar,raspberry,vinegar,
