apple pear,apple,pear,
catfish fillet,catfish,fillet,
soybean stick,soybean,
beef sirloin,beef,sirloin,
beef heart,beef,
olive vegetable,olive,vegetable,
barbecue pork,barbecue,pork,
pumpkin squash,pumpkin,squash,
sweet vegetable,sweet,vegetable,
mustard cress,mustard,cress,
crab roe,roe,
duck liver,duck,liver,
almond meal,almond,meal,
lychee juice,lychee,juice,
raspberry vinegar,raspberry,vinegar,
banana liqueur,banana,liqueur,
brioche hamburger,brioche,hamburger,
enchilada sauce,enchilada,sauce,
irish cream,irish,cream,
