coffee ice,coffee,
currant jam,currant,
veal rump,veal,rump,
lemon cucumber,lemon,cucumber,
peach brandy,peach,brandy,
nutmeg oil,nutmeg,oil,
plum brandy,plum,brandy,
raspberry vinaigrette,raspberry,vinaigrette,
green chilli,chilli,
celery juice,celery,juice,
green chile,chile,
orange bitter,orange,
pork mince,pork,mince,
rice vinegar,rice,vinegar,
mint oil,mint,oil,
phyllo pastry,phyllo,pastry,
veal tenderloin,veal,tenderloin,
beef heart,beef,
walnut vinaigrette,walnut,vinaigrette,
duck liver,duck,liver,
plum jam,plum,
vanilla sugar,vanilla,sugar,
cod roe,cod,roe,
pecan ice,pecan,
pistachio flour,pistachio,flour,
raspberry brandy,raspberry,brandy,
bagel chip,bagel,
rosemary oil,rosemary,oil,
jack cheese,cheese,
muscadet wine,muscadet,wine,
venison sparerib,venison,sparerib,
coconut chip,coconut,
scallop roe,scallop,roe,
green herb,herb,
cocktail sausage,cocktail,sausage,
rabbit saddle,rabbit,
duck leg,duck,leg,
pecan oil,pecan,oil,
soy milk,soy,milk,
raspberry jam,raspberry,
crepe mushroom,crepe,mushroom,
green radish,radish,
sage sausage,sage,sausage,
round lettuce,lettuce,
chocolate liqueur,chocolate,liqueur,
maize meal,maize,meal,
blackberry liqueur,blackberry,liqueur,
chervil sprout,chervil,sprout,
pear vinegar,pear,vinegar,
chou pastry,chou,pastry,
lobster bisque,lobster,bisque,
green wheat,wheat,
medium grain,grain,
cheese wedge,cheese,wedge,
beef tournedos,beef,tournedos,
rye meal,rye,meal,
lamb brain,lamb,brain,
sauternes wine,sauternes,wine,
soup mix,soup,mix,
lamb saddle,lamb,
peach schnapps,peach,schnapps,
banana ice,banana,
green tomato,tomato,
chile oil,chile,oil,
vanilla wafer,vanilla,wafer,
veal liver,veal,liver,
apricot jam,apricot,
pistachio ice,pistachio,
green vegetable,vegetable,
grain rice,grain,rice,
parmesan cheese,parmesan,cheese,
sour gherkin,gherkin,
vegetable juice,vegetable,juice,
chestnut mushroom,chestnut,mushroom,
sweet paprika,sweet,paprika,
walnut wine,walnut,wine,
fettuccine pasta,fettuccine,pasta,
prune juice,prune,juice,
veal tongue,veal,
mushroom liquor,mushroom,liquor,
hamburger patty,hamburger,patty,
apricot nectar,apricot,nectar,
mushroom truffle,mushroom,truffle,
veal chop,veal,
currant juice,currant,juice,
green papaya,papaya,
buckwheat flour,buckwheat,flour,
blackberry jam,blackberry,
veal forequarter,veal,forequarter,
green chartreuse,chartreuse,
ginger syrup,ginger,syrup,
vegetable stock,vegetable,
meat dripping,meat,
banana squash,banana,squash,
orange pepper,orange,pepper,
hazelnut paste,hazelnut,paste,
shoulder chop,shoulder,
soya sauce,soya,sauce,
chili oil,chili,oil,
malt vinegar,malt,vinegar,
champagne vinegar,champagne,vinegar,
amaranth flour,amaranth,flour,
hazelnut flour,hazelnut,flour,
rabbit shoulder,rabbit,shoulder,
fig brandy,fig,brandy,
celery heart,celery,
apricot ice,apricot,
adobo sauce,adobo,sauce,
madeira pork,madeira,pork,
rabbit stock,rabbit,
garlic oil,garlic,oil,
almond milk,almond,milk,
raspberry juice,raspberry,juice,
lime oil,lime,oil,
loin chop,loin,
muenster cheese,muenster,cheese,
knackwurst sausage,knackwurst,sausage,
chorizo sausage,chorizo,sausage,
horseradish relish,horseradish,relish,
kingfish fillet,kingfish,fillet,
rock shrimp,shrimp,
tamarind concentrate,tamarind,
lemon syrup,lemon,syrup,
beef rump,beef,rump,
mutton shoulder,mutton,shoulder,
pheasant liver,pheasant,liver,
emmental cheese,emmental,cheese,
veal saddle,veal,
seltzer water,seltzer,
salad mix,salad,mix,
lobster tomalley,lobster,tomalley,
mutton tongue,mutton,
venison leg,venison,leg,
corn tortilla,corn,tortilla,
hazelnut meal,hazelnut,meal,
strudel pastry,strudel,pastry,
blackberry juice,blackberry,juice,
pear nectar,pear,nectar,
madeira wine,madeira,wine,
sauce mix,sauce,mix,
breakfast radish,breakfast,radish,
veal brisket,veal,brisket,
monkfish liver,monkfish,liver,
pear liqueur,pear,liqueur,
tagliatelle pasta,tagliatelle,pasta,
coffee tequila,coffee,tequila,
round beef,beef,
herb vinegar,herb,vinegar,
pork chine,pork,chine,
bread flour,bread,flour,
spearmint tea,spearmint,tea,
rice wine,rice,wine,
muscadine juice,muscadine,juice,
paddy herb,paddy,herb,
cocktail onion,cocktail,onion,
swordfish steak,swordfish,steak,
game hen,hen,
amontillado sherry,amontillado,sherry,
green mussel,mussel,
raspberry ice,raspberry,
green orach,orach,
veal broth,veal,broth,
chipotle chilli,chipotle,chilli,
hollandaise sauce,hollandaise,sauce,
spinach juice,spinach,juice,
frankfurter sausage,frankfurter,sausage,
malt syrup,malt,syrup,
green apple,apple,
haricot blanc,haricot,blanc,
almond flour,almond,flour,
mint syrup,mint,syrup,
corn flour,corn,flour,
spaghettini pasta,spaghettini,pasta,
radish cress,radish,cress,
green almond,almond,
apple brandy,apple,brandy,
pumpernickel flour,pumpernickel,flour,
irish cream,irish,cream,
orzo pasta,orzo,pasta,
oktoberfest spice,oktoberfest,spice,
lamb dripping,lamb,
duck stock,duck,
wine grape,wine,grape,
mutton leg,mutton,leg,
ham leg,ham,leg,
vermicelli noodle,vermicelli,noodle,
peppermint schnapps,peppermint,schnapps,
lemon ice,lemon,
oyster liquor,oyster,liquor,
custard marrow,custard,marrow,
beef sausage,beef,sausage,
irish oat,irish,oat,
wheat danish,wheat,danish,
cherry brandy,cherry,brandy,
wheat couscous,wheat,couscous,
shellfish stock,shellfish,
lasagna pasta,lasagna,pasta,
tart cherry,tart,cherry,
fig vodka,fig,vodka,
berry jam,berry,
espagnole sauce,espagnole,sauce,
orange syrup,orange,syrup,
hazelnut butter,hazelnut,butter,
butternut pumpkin,butternut,pumpkin,
roast coffee,roast,coffee,
green walnut,walnut,
chestnut honey,chestnut,honey,
garlic sausage,garlic,sausage,
wheat cracker,wheat,cracker,
cherry vinegar,cherry,vinegar,
vanilla tea,vanilla,tea,
duck dripping,duck,
chocolate chip,chocolate,
partridge liver,partridge,liver,
round courgette,courgette,
beef sparerib,beef,sparerib,
flour tortilla,flour,tortilla,
pumpkin puree,pumpkin,puree,
duck egg,duck,egg,
sandwich roll,sandwich,
orange brandy,orange,brandy,
fish broth,fish,broth,
beef tomato,beef,tomato,
angelica rum,angelica,rum,
thyme honey,thyme,honey,
venison saddle,venison,
coriander soup,coriander,soup,
apricot juice,apricot,juice,
green cardamom,cardamom,
pork rump,pork,rump,
veal brain,veal,brain,
cod liver,cod,liver,
lime pickle,lime,pickle,
almond paste,almond,paste,
caper berry,caper,berry,
lamb tripe,lamb,tripe,
green peppercorn,peppercorn,
beef brisket,beef,brisket,
butterscotch schnapps,butterscotch,schnapps,
almond liqueur,almond,liqueur,
truffle flour,truffle,flour,
strawberry liqueur,strawberry,liqueur,
walnut vinegar,walnut,vinegar,
pork dripping,pork,
pork chop,pork,
clover honey,clover,honey,
fish roe,fish,roe,
radish sprout,radish,sprout,
turkey liver,turkey,liver,
shrimp stock,shrimp,
gingerbread spice,gingerbread,spice,
coconut juice,coconut,juice,
cocktail pumpernickel,cocktail,pumpernickel,
pastry flour,pastry,flour,
fig vinegar,fig,vinegar,
shortbread biscuit,shortbread,biscuit,
lamb offal,lamb,offal,
vermicelli pasta,vermicelli,pasta,
blueberry jam,blueberry,
brie cheese,brie,cheese,
lamb leg,lamb,leg,
truffle paste,truffle,paste,
mutton loin,mutton,loin,
edam cheese,edam,cheese,
bean flour,bean,flour,
mushroom stock,mushroom,
blade mace,blade,mace,
tamarind juice,tamarind,juice,
cake flour,cake,flour,
fish liver,fish,liver,
green lentil,lentil,
lemon vodka,lemon,vodka,
olive paste,olive,paste,
sweet soy,sweet,soy,
veal leg,veal,leg,
bacon hock,bacon,hock,
beef brain,beef,brain,
egg mayonnaise,egg,mayonnaise,
wheat pastry,wheat,pastry,
beef porterhouse,beef,porterhouse,
veal heart,veal,
sweet chocolate,sweet,chocolate,
millet flour,millet,flour,
pastry pie,pastry,pie,
tangerine ice,tangerine,
chicken heart,chicken,
rabbit loin,rabbit,loin,
gorgonzola cheese,gorgonzola,cheese,
ziti pasta,ziti,pasta,
cherry juice,cherry,juice,
juice concentrate,juice,
chicken sausage,chicken,sausage,
duck sausage,duck,sausage,
pear cider,pear,cider,
quail egg,quail,egg,
salad potato,salad,potato,
apricot liqueur,apricot,liqueur,
veal mince,veal,mince,
apple banana,apple,banana,
ham stock,ham,
grain barley,grain,barley,
poultry stock,poultry,
morello cherry,morello,cherry,
pasta flour,pasta,flour,
truffle juice,truffle,juice,
onion sprout,onion,sprout,
grenadine syrup,grenadine,syrup,
peach jam,peach,
cucumber pickle,cucumber,pickle,
turkey heart,turkey,
lobster stock,lobster,
salad onion,salad,onion,
butter lettuce,butter,lettuce,
chile paste,chile,paste,
almond butter,almond,butter,
beef dripping,beef,
oyster sauce,oyster,sauce,
chablis wine,chablis,wine,
meat broth,meat,broth,
green cabbage,cabbage,
goose heart,goose,
pear vodka,pear,vodka,
walnut liqueur,walnut,liqueur,
emmenthal cheese,emmenthal,cheese,
raspberry liqueur,raspberry,liqueur,
lobster mushroom,lobster,mushroom,
lobster coral,lobster,coral,
macaroni pasta,macaroni,pasta,
tart apple,tart,apple,
onion jam,onion,
truffle honey,truffle,honey,
chicken dripping,chicken,
puff pastry,pastry,
muscadine grape,muscadine,grape,
beef shoulder,beef,shoulder,
sweet rice,sweet,rice,
ham shoulder,ham,shoulder,
water cracker,cracker,
couverture chocolate,couverture,chocolate,
pepper cress,pepper,cress,
salt mackerel,salt,mackerel,
napa cabbage,napa,cabbage,
violet syrup,violet,syrup,
basil oil,basil,oil,
currant raisin,currant,raisin,
lobster roe,lobster,roe,
beef sirloin,beef,sirloin,
squab liver,squab,liver,
chickpea flour,chickpea,flour,
pumpkin squash,pumpkin,squash,
wafer cooky,wafer,cooky,
lemon jell-o,lemon,jell-o,
corn semolina,corn,semolina,
venison stock,venison,
pork sirloin,pork,sirloin,
ginger biscuit,ginger,biscuit,
sweet chilli,sweet,chilli,
lamb heart,lamb,
chestnut liqueur,chestnut,liqueur,
herb sausage,herb,sausage,
kaffir lime,kaffir,lime,
sushi rice,sushi,rice,
chile sauce,chile,sauce,
radish green,radish,
sarsaparilla soda,sarsaparilla,soda,
liqueur muscat,liqueur,muscat,
beef liver,beef,liver,
tempura flour,tempura,flour,
wine vinaigrette,wine,vinaigrette,
spice mix,spice,mix,
souchong tea,souchong,tea,
bean noodle,bean,noodle,
anise oil,anise,oil,
venison loin,venison,loin,
oil concentrate,oil,
peach juice,peach,juice,
bratwurst sausage,bratwurst,sausage,
chianti wine,chianti,wine,
lamb hindquarter,lamb,hindquarter,
saltine cracker,saltine,cracker,
bean paste,bean,paste,
semolina flour,semolina,flour,
truffle butter,truffle,butter,
rhubarb juice,rhubarb,juice,
sole roe,sole,roe,
brioche roll,brioche,
spinach pasta,spinach,pasta,
monkfish fillet,monkfish,fillet,
beef demiglace,beef,demiglace,
carp roe,carp,roe,
chilli oil,chilli,oil,
soup pasta,soup,pasta,
bosc pear,bosc,pear,
citrus vodka,citrus,vodka,
venison tongue,venison,
stick noodle,noodle,
lettuce heart,lettuce,
zinfandel wine,zinfandel,wine,
chicory coffee,chicory,coffee,
knockwurst sausage,knockwurst,sausage,
coffee candy,coffee,candy,
sour pickle,pickle,
farfalle pasta,farfalle,pasta,
mushroom ketchup,mushroom,ketchup,
pork crackling,pork,
mushroom soy,mushroom,soy,
lamb mince,lamb,mince,
rice noodle,rice,noodle,
frankfurter beef,frankfurter,beef,
parsley juice,parsley,juice,
chardonnay wine,chardonnay,wine,
cherry syrup,cherry,syrup,
cheese pumpkin,cheese,pumpkin,
pomegranate juice,pomegranate,juice,
coconut toffee,coconut,toffee,
pork hock,pork,hock,
rabbit leg,rabbit,leg,
plum wine,plum,wine,
garlic mayonnaise,garlic,mayonnaise,
caper vinegar,caper,vinegar,
green pumpkin,pumpkin,
rioja wine,rioja,wine,
matzo cracker,matzo,cracker,
allspice berry,allspice,berry,
banana pepper,banana,pepper,
sweet wine,sweet,wine,
blackberry ice,blackberry,
paella rice,paella,rice,
barley flour,barley,flour,
split pea,pea,
sherry vinegar,sherry,vinegar,
chilli sauce,chilli,sauce,
rice flour,rice,flour,
blanc wine,blanc,wine,
chile pepper,chile,pepper,
bearnaise sauce,bearnaise,sauce,
simple syrup,simple,syrup,
orange cauliflower,orange,cauliflower,
rib chop,rib,
praline paste,praline,paste,
goose dripping,goose,
pastry cream,pastry,cream,
burger bun,burger,bun,
wheat grain,wheat,grain,
almond syrup,almond,syrup,
gem lettuce,gem,lettuce,
pilsner beer,pilsner,beer,
shrimp paste,shrimp,paste,
olive tapenade,olive,tapenade,
fennel oil,fennel,oil,
rye flour,rye,flour,
hare leg,hare,leg,
green strawberry,strawberry,
pie spice,pie,spice,
strawberry juice,strawberry,juice,
chicken tenderloin,chicken,tenderloin,
veal loin,veal,loin,
medium apple,apple,
soybean sprout,soybean,sprout,
apricot brandy,apricot,brandy,
mouton mushroom,mouton,mushroom,
wheat cereal,wheat,cereal,
tarragon vinegar,tarragon,vinegar,
green garlic,garlic,
montrachet cheese,montrachet,cheese,
mustard vinaigrette,mustard,vinaigrette,
whisky bitter,whisky,
soy oil,soy,oil,
rice vermicelli,rice,vermicelli,
chipolata sausage,chipolata,sausage,
blanc sausage,blanc,sausage,
hare saddle,hare,
anise liqueur,anise,liqueur,
veal gravy,veal,gravy,
saveloy sausage,saveloy,sausage,
ice wine,wine,
claret wine,claret,wine,
pineapple syrup,pineapple,syrup,
dog bun,bun,
cockle clam,cockle,clam,
turkey stock,turkey,
mignonette pepper,mignonette,pepper,
almond praline,almond,praline,
anchovy oil,anchovy,oil,
meat stock,meat,
dandelion heart,dandelion,
salmon stock,salmon,
raspberry vinegar,raspberry,vinegar,
pineapple ice,pineapple,
daikon radish,daikon,radish,
truffle oil,truffle,oil,
roquefort cheese,roquefort,cheese,
goose leg,goose,leg,
sultana grape,sultana,grape,
pea sprout,pea,sprout,
cherry liqueur,cherry,liqueur,
mulberry syrup,mulberry,syrup,
poultry liver,poultry,liver,
malmsey wine,malmsey,wine,
jack mushroom,jack,mushroom,
breakfast sausage,breakfast,sausage,
lamb rump,lamb,rump,
lamb stock,lamb,
chile vinegar,chile,vinegar,
herb oil,herb,oil,
almond meal,almond,meal,
chocolate sprinkle,chocolate,
mustard cress,mustard,cress,
