1,u'coffee ice', u'coffee'
1,u'chestnut cream', u'chestnut', u'cream'
1,u'stilton cheese', u'stilton', u'cheese'
1,u'game liver', u'liver'
1,u'beef marrow', u'beef', u'marrow'
1,u'pork broth', u'pork', u'broth'
1,u'chestnut flour', u'chestnut', u'flour'
1,u'kosher salt', u'kosher', u'salt'
1,u'lamb tenderloin', u'lamb', u'tenderloin'
1,u'venison chop', u'venison'
1,u'pear brandy', u'pear', u'brandy'
1,u'fish sauce', u'fish', u'sauce'
1,u'beef mince', u'beef', u'mince'
1,u'mullet roe', u'mullet', u'roe'
1,u'wheat pasta', u'wheat', u'pasta'
1,u'chestnut jam', u'chestnut'
1,u'buckwheat sprout', u'buckwheat', u'sprout'
1,u'venison offal', u'venison', u'offal'
1,u'pork stock', u'pork'
1,u'camembert cheese', u'camembert', u'cheese'
1,u'lamb rib', u'lamb', u'rib'
1,u'meat sauce', u'meat', u'sauce'
1,u'peach liqueur', u'peach', u'liqueur'
1,u'pear juice', u'pear', u'juice'
1,u'chile pepper', u'chile', u'pepper'
1,u'veal stock', u'veal'
1,u'hazelnut meal', u'hazelnut', u'meal'
1,u'veal rump', u'veal', u'rump'
1,u'peach brandy', u'peach', u'brandy'
1,u'green chilli', u'chilli'
1,u'orange bitter', u'orange'
1,u'pork mince', u'pork', u'mince'
1,u'muscatel grape', u'muscatel', u'grape'
1,u'wheat linguine', u'wheat', u'linguine'
1,u'phyllo pastry', u'phyllo', u'pastry'
1,u'simple syrup', u'simple', u'syrup'
1,u'rice mix', u'rice', u'mix'
1,u'beef heart', u'beef'
1,u'marinara sauce', u'marinara', u'sauce'
1,u'duck liver', u'duck', u'liver'
1,u'plum jam', u'plum'
1,u'shallot vinegar', u'shallot', u'vinegar'
1,u'vanilla sugar', u'vanilla', u'sugar'
1,u'tiramisu liqueur', u'tiramisu', u'liqueur'
1,u'veal hock', u'veal', u'hock'
1,u'gherkin cucumber', u'gherkin', u'cucumber'
1,u'pistachio flour', u'pistachio', u'flour'
1,u'orange vodka', u'orange', u'vodka'
1,u'beef sausage', u'beef', u'sausage'
1,u'rosemary oil', u'rosemary', u'oil'
1,u'pizza flour', u'pizza', u'flour'
1,u'roast turkey', u'roast', u'turkey'
1,u'lemon basil', u'lemon', u'basil'
1,u'rabbit saddle', u'rabbit'
1,u'sour mix', u'mix'
1,u'duck leg', u'duck', u'leg'
1,u'strawberry jell-o', u'strawberry', u'jell-o'
1,u'lamb broth', u'lamb', u'broth'
1,u'raspberry jam', u'raspberry'
1,u'round lettuce', u'lettuce'
1,u'galliano liqueur', u'galliano', u'liqueur'
1,u'apricot liqueur', u'apricot', u'liqueur'
1,u'picnic pork', u'picnic', u'pork'
1,u'lamb forequarter', u'lamb', u'forequarter'
1,u'mutton stock', u'mutton'
1,u'lobster bisque', u'lobster', u'bisque'
1,u'veal tenderloin', u'veal', u'tenderloin'
1,u'medium grain', u'grain'
1,u'lamb brain', u'lamb', u'brain'
1,u'sauternes wine', u'sauternes', u'wine'
1,u'lamb saddle', u'lamb'
1,u'peach schnapps', u'peach', u'schnapps'
1,u'banana ice', u'banana'
1,u'green tomato', u'tomato'
1,u'chile oil', u'chile', u'oil'
1,u'vanilla wafer', u'vanilla', u'wafer'
1,u'basil vinegar', u'basil', u'vinegar'
1,u'apricot jam', u'apricot'
1,u'almond grappa', u'almond', u'grappa'
1,u'caramel candy', u'caramel', u'candy'
1,u'gem squash', u'gem', u'squash'
1,u'pistachio ice', u'pistachio'
1,u'green vegetable', u'vegetable'
1,u'grain rice', u'grain', u'rice'
1,u'parmesan cheese', u'parmesan', u'cheese'
1,u'pork tripe', u'pork', u'tripe'
1,u'vegetable juice', u'vegetable', u'juice'
1,u'chestnut mushroom', u'chestnut', u'mushroom'
1,u'sweet paprika', u'sweet', u'paprika'
1,u'fettuccine pasta', u'fettuccine', u'pasta'
1,u'polenta flour', u'polenta', u'flour'
1,u'pear tomato', u'pear', u'tomato'
1,u'veal tongue', u'veal'
1,u'sausage ravioli', u'sausage', u'ravioli'
1,u'banana chile', u'banana', u'chile'
1,u'veal chop', u'veal'
1,u'chocolate pasta', u'chocolate', u'pasta'
1,u'wheat spaghetti', u'wheat', u'spaghetti'
1,u'buckwheat flour', u'buckwheat', u'flour'
1,u'coconut amaretto', u'coconut', u'amaretto'
1,u'spinach penne', u'spinach', u'penne'
1,u'blackberry jam', u'blackberry'
1,u'lemon pepper', u'lemon', u'pepper'
1,u'pork sparerib', u'pork', u'sparerib'
1,u'lasagne pasta', u'lasagne', u'pasta'
1,u'vegetable stock', u'vegetable'
1,u'meat dripping', u'meat'
1,u'banana squash', u'banana', u'squash'
1,u'wheat semolina', u'wheat', u'semolina'
1,u'orange pepper', u'orange', u'pepper'
1,u'hazelnut paste', u'hazelnut', u'paste'
1,u'shoulder chop', u'shoulder'
1,u'chili oil', u'chili', u'oil'
1,u'champagne vinegar', u'champagne', u'vinegar'
1,u'chianti vinegar', u'chianti', u'vinegar'
1,u'rosemary bread', u'rosemary', u'bread'
1,u'matzo cake', u'matzo', u'cake'
1,u'chicken mince', u'chicken', u'mince'
1,u'hazelnut flour', u'hazelnut', u'flour'
1,u'celery heart', u'celery'
1,u'adobo sauce', u'adobo', u'sauce'
1,u'cinnamon oil', u'cinnamon', u'oil'
1,u'rabbit stock', u'rabbit'
1,u'veal rib', u'veal', u'rib'
1,u'garlic oil', u'garlic', u'oil'
1,u'almond milk', u'almond', u'milk'
1,u'fennel sausage', u'fennel', u'sausage'
1,u'loin chop', u'loin'
1,u'muenster cheese', u'muenster', u'cheese'
1,u'veal saddle', u'veal'
1,u'chorizo sausage', u'chorizo', u'sausage'
1,u'celery bitter', u'celery'
1,u'rock shrimp', u'shrimp'
1,u'lemon syrup', u'lemon', u'syrup'
1,u'cake meal', u'cake', u'meal'
1,u'beef rump', u'beef', u'rump'
1,u'cornbread mix', u'cornbread', u'mix'
1,u'veal brain', u'veal', u'brain'
1,u'mutton shoulder', u'mutton', u'shoulder'
1,u'pheasant liver', u'pheasant', u'liver'
1,u'emmental cheese', u'emmental', u'cheese'
1,u'seltzer water', u'seltzer'
1,u'licorice candy', u'licorice', u'candy'
1,u'manicotti pasta', u'manicotti', u'pasta'
1,u'lemon mayonnaise', u'lemon', u'mayonnaise'
1,u'venison leg', u'venison', u'leg'
1,u'saffron pasta', u'saffron', u'pasta'
1,u'corn tortilla', u'corn', u'tortilla'
1,u'pizza sauce', u'pizza', u'sauce'
1,u'green lentil', u'lentil'
1,u'madeira wine', u'madeira', u'wine'
1,u'edible wafer', u'edible', u'wafer'
1,u'sweet chocolate', u'sweet', u'chocolate'
1,u'breakfast radish', u'breakfast', u'radish'
1,u'lasagna noodle', u'lasagna', u'noodle'
1,u'egg tagliatelle', u'egg', u'tagliatelle'
1,u'sweet sausage', u'sweet', u'sausage'
1,u'turkey broth', u'turkey', u'broth'
1,u'pear liqueur', u'pear', u'liqueur'
1,u'oka cheese', u'oka', u'cheese'
1,u'fowl stock', u'fowl'
1,u'hazelnut liqueur', u'hazelnut', u'liqueur'
1,u'round beef', u'beef'
1,u'sandwich cooky', u'sandwich', u'cooky'
1,u'herb vinegar', u'herb', u'vinegar'
1,u'rice wafer', u'rice', u'wafer'
1,u'pork chine', u'pork', u'chine'
1,u'bread flour', u'bread', u'flour'
1,u'rice wine', u'rice', u'wine'
1,u'hare heart', u'hare'
1,u'semolina roll', u'semolina'
1,u'semolina flour', u'semolina', u'flour'
1,u'cocktail onion', u'cocktail', u'onion'
1,u'swordfish steak', u'swordfish', u'steak'
1,u'game hen', u'hen'
1,u'apple ice', u'apple'
1,u'morello cherry', u'morello', u'cherry'
1,u'veal broth', u'veal', u'broth'
1,u'frankfurter sausage', u'frankfurter', u'sausage'
1,u'buttercrunch lettuce', u'buttercrunch', u'lettuce'
1,u'malt syrup', u'malt', u'syrup'
1,u'chocolate biscuit', u'chocolate', u'biscuit'
1,u'green apple', u'apple'
1,u'corn flour', u'corn', u'flour'
1,u'wheat fettuccine', u'wheat', u'fettuccine'
1,u'irish cream', u'irish', u'cream'
1,u'orzo pasta', u'orzo', u'pasta'
1,u'cappuccino paste', u'cappuccino', u'paste'
1,u'duck stock', u'duck'
1,u'duck broth', u'duck', u'broth'
1,u'wine grape', u'wine', u'grape'
1,u'mutton leg', u'mutton', u'leg'
1,u'vermicelli noodle', u'vermicelli', u'noodle'
1,u'green curry', u'curry'
1,u'meat tortellini', u'meat', u'tortellini'
1,u'lemon ice', u'lemon'
1,u'oyster liquor', u'oyster', u'liquor'
1,u'cherry brandy', u'cherry', u'brandy'
1,u'shellfish stock', u'shellfish'
1,u'lasagna pasta', u'lasagna', u'pasta'
1,u'wheat rigatoni', u'wheat', u'rigatoni'
1,u'watermelon radish', u'watermelon', u'radish'
1,u'berry jam', u'berry'
1,u'salmon roe', u'salmon', u'roe'
1,u'orange syrup', u'orange', u'syrup'
1,u'butternut pumpkin', u'butternut', u'pumpkin'
1,u'beetroot fettuccine', u'beetroot', u'fettuccine'
1,u'green walnut', u'walnut'
1,u'chestnut honey', u'chestnut', u'honey'
1,u'verdicchio wine', u'verdicchio', u'wine'
1,u'garlic sausage', u'garlic', u'sausage'
1,u'chocolate chip', u'chocolate'
1,u'partridge liver', u'partridge', u'liver'
1,u'turkey liver', u'turkey', u'liver'
1,u'pumpkin puree', u'pumpkin', u'puree'
1,u'duck egg', u'duck', u'egg'
1,u'sandwich roll', u'sandwich'
1,u'fish broth', u'fish', u'broth'
1,u'beef tomato', u'beef', u'tomato'
1,u'thyme honey', u'thyme', u'honey'
1,u'venison saddle', u'venison'
1,u'cappelletti pasta', u'cappelletti', u'pasta'
1,u'clam broth', u'clam', u'broth'
1,u'green cardamom', u'cardamom'
1,u'chestnut beer', u'chestnut', u'beer'
1,u'hardtack biscuit', u'hardtack', u'biscuit'
1,u'pork rump', u'pork', u'rump'
1,u'corn pasta', u'corn', u'pasta'
1,u'seafood broth', u'seafood', u'broth'
1,u'pastry tart', u'pastry', u'tart'
1,u'almond paste', u'almond', u'paste'
1,u'caper berry', u'caper', u'berry'
1,u'lamb tripe', u'lamb', u'tripe'
1,u'green peppercorn', u'peppercorn'
1,u'beef brisket', u'beef', u'brisket'
1,u'danish cheese', u'danish', u'cheese'
1,u'chilli spaghetti', u'chilli', u'spaghetti'
1,u'chile pickle', u'chile', u'pickle'
1,u'pineapple cake', u'pineapple', u'cake'
1,u'almond liqueur', u'almond', u'liqueur'
1,u'strawberry liqueur', u'strawberry', u'liqueur'
1,u'pork dripping', u'pork'
1,u'pork chop', u'pork'
1,u'mostaccioli pasta', u'mostaccioli', u'pasta'
1,u'clover honey', u'clover', u'honey'
1,u'fish roe', u'fish', u'roe'
1,u'radish sprout', u'radish', u'sprout'
1,u'pepper relish', u'pepper', u'relish'
1,u'shrimp stock', u'shrimp'
1,u'pastry flour', u'pastry', u'flour'
1,u'lamb offal', u'lamb', u'offal'
1,u'vermicelli pasta', u'vermicelli', u'pasta'
1,u'cream liqueur', u'cream', u'liqueur'
1,u'saffron milk', u'saffron', u'milk'
1,u'lamb leg', u'lamb', u'leg'
1,u'truffle paste', u'truffle', u'paste'
1,u'neck clam', u'neck', u'clam'
1,u'edam cheese', u'edam', u'cheese'
1,u'grain barley', u'grain', u'barley'
1,u'pasta flour', u'pasta', u'flour'
1,u'blade mace', u'blade', u'mace'
1,u'tamarind juice', u'tamarind', u'juice'
1,u'cake flour', u'cake', u'flour'
1,u'hare liver', u'hare', u'liver'
1,u'cinnamon graham', u'cinnamon', u'graham'
1,u'mint bitter', u'mint'
1,u'lemon vodka', u'lemon', u'vodka'
1,u'olive paste', u'olive', u'paste'
1,u'veal leg', u'veal', u'leg'
1,u'apple potato', u'apple', u'potato'
1,u'beef brain', u'beef', u'brain'
1,u'wheat pastry', u'wheat', u'pastry'
1,u'beef porterhouse', u'beef', u'porterhouse'
1,u'veal heart', u'veal'
1,u'fennel tea', u'fennel', u'tea'
1,u'pastry pie', u'pastry', u'pie'
1,u'chicken heart', u'chicken'
1,u'rabbit loin', u'rabbit', u'loin'
1,u'gorgonzola cheese', u'gorgonzola', u'cheese'
1,u'ziti pasta', u'ziti', u'pasta'
1,u'champagne vinaigrette', u'champagne', u'vinaigrette'
1,u'juice concentrate', u'juice'
1,u'artichoke liqueur', u'artichoke', u'liqueur'
1,u'chicken sausage', u'chicken', u'sausage'
1,u'split lentil', u'lentil'
1,u'saffron linguine', u'saffron', u'linguine'
1,u'johnnycake meal', u'johnnycake', u'meal'
1,u'veal mince', u'veal', u'mince'
1,u'truffle candy', u'truffle', u'candy'
1,u'poultry stock', u'poultry'
1,u'veal brisket', u'veal', u'brisket'
1,u'truffle juice', u'truffle', u'juice'
1,u'onion sprout', u'onion', u'sprout'
1,u'veal marrow', u'veal', u'marrow'
1,u'grenadine syrup', u'grenadine', u'syrup'
1,u'peach jam', u'peach'
1,u'beaujolais wine', u'beaujolais', u'wine'
1,u'buckwheat polenta', u'buckwheat', u'polenta'
1,u'cucumber pickle', u'cucumber', u'pickle'
1,u'peanut sauce', u'peanut', u'sauce'
1,u'cinnamon chip', u'cinnamon'
1,u'turkey heart', u'turkey'
1,u'apple nectar', u'apple', u'nectar'
1,u'lobster stock', u'lobster'
1,u'salad onion', u'salad', u'onion'
1,u'butter lettuce', u'butter', u'lettuce'
1,u'zwieback cracker', u'zwieback', u'cracker'
1,u'almond butter', u'almond', u'butter'
1,u'green cauliflower', u'cauliflower'
1,u'beef dripping', u'beef'
1,u'oyster sauce', u'oyster', u'sauce'
1,u'meat broth', u'meat', u'broth'
1,u'green cabbage', u'cabbage'
1,u'rice vinegar', u'rice', u'vinegar'
1,u'emmenthal cheese', u'emmenthal', u'cheese'
1,u'tagliatelle pasta', u'tagliatelle', u'pasta'
1,u'raspberry liqueur', u'raspberry', u'liqueur'
1,u'maize flour', u'maize', u'flour'
1,u'basil cress', u'basil', u'cress'
1,u'macaroni pasta', u'macaroni', u'pasta'
1,u'tart apple', u'tart', u'apple'
1,u'sweet fennel', u'sweet', u'fennel'
1,u'puff pastry', u'pastry'
1,u'grape jam', u'grape'
1,u'beef shoulder', u'beef', u'shoulder'
1,u'coriander cress', u'coriander', u'cress'
1,u'cream sherry', u'cream', u'sherry'
1,u'couverture chocolate', u'couverture', u'chocolate'
1,u'licorice paste', u'licorice', u'paste'
1,u'veal tripe', u'veal', u'tripe'
1,u'napa cabbage', u'napa', u'cabbage'
1,u'mushroom ravioli', u'mushroom', u'ravioli'
1,u'basil oil', u'basil', u'oil'
1,u'currant raisin', u'currant', u'raisin'
1,u'beef sirloin', u'beef', u'sirloin'
1,u'lemon rum', u'lemon', u'rum'
1,u'chickpea flour', u'chickpea', u'flour'
1,u'pumpkin squash', u'pumpkin', u'squash'
1,u'wafer cooky', u'wafer', u'cooky'
1,u'lemon jell-o', u'lemon', u'jell-o'
1,u'venison stock', u'venison'
1,u'peach nectar', u'peach', u'nectar'
1,u'honey vinegar', u'honey', u'vinegar'
1,u'veal liver', u'veal', u'liver'
1,u'caramel ice', u'caramel'
1,u'lamb heart', u'lamb'
1,u'tuna loin', u'tuna', u'loin'
1,u'herb sausage', u'herb', u'sausage'
1,u'kaffir lime', u'kaffir', u'lime'
1,u'bean broth', u'bean', u'broth'
1,u'chile sauce', u'chile', u'sauce'
1,u'radish green', u'radish'
1,u'vinegar pickle', u'vinegar', u'pickle'
1,u'citron jam', u'citron'
1,u'beef liver', u'beef', u'liver'
1,u'tempura flour', u'tempura', u'flour'
1,u'green rhubarb', u'rhubarb'
1,u'anise oil', u'anise', u'oil'
1,u'chocolate pastille', u'chocolate', u'pastille'
1,u'tabasco chipotle', u'tabasco', u'chipotle'
1,u'venison loin', u'venison', u'loin'
1,u'peach juice', u'peach', u'juice'
1,u'bratwurst sausage', u'bratwurst', u'sausage'
1,u'chianti wine', u'chianti', u'wine'
1,u'saltine cracker', u'saltine', u'cracker'
1,u'blueberry vodka', u'blueberry', u'vodka'
1,u'sweet marsala', u'sweet', u'marsala'
1,u'truffle butter', u'truffle', u'butter'
1,u'latte mozzarella', u'latte', u'mozzarella'
1,u'monkfish fillet', u'monkfish', u'fillet'
1,u'buckwheat noodle', u'buckwheat', u'noodle'
1,u'chilli oil', u'chilli', u'oil'
1,u'paprika oil', u'paprika', u'oil'
1,u'bosc pear', u'bosc', u'pear'
1,u'stick noodle', u'noodle'
1,u'lettuce heart', u'lettuce'
1,u'zinfandel wine', u'zinfandel', u'wine'
1,u'beef gravy', u'beef', u'gravy'
1,u'knockwurst sausage', u'knockwurst', u'sausage'
1,u'beef demiglace', u'beef', u'demiglace'
1,u'sour pickle', u'pickle'
1,u'farfalle pasta', u'farfalle', u'pasta'
1,u'pork crackling', u'pork'
1,u'raspberry syrup', u'raspberry', u'syrup'
1,u'rice noodle', u'rice', u'noodle'
1,u'parsley juice', u'parsley', u'juice'
1,u'chardonnay wine', u'chardonnay', u'wine'
1,u'cherry syrup', u'cherry', u'syrup'
1,u'oil mayonnaise', u'oil', u'mayonnaise'
1,u'cheese pumpkin', u'cheese', u'pumpkin'
1,u'chile salsa', u'chile', u'salsa'
1,u'yogurt starter', u'yogurt', u'starter'
1,u'orange cherry', u'orange', u'cherry'
1,u'pork hock', u'pork', u'hock'
1,u'rabbit leg', u'rabbit', u'leg'
1,u'green pumpkin', u'pumpkin'
1,u'matzo cracker', u'matzo', u'cracker'
1,u'spinach fettuccine', u'spinach', u'fettuccine'
1,u'allspice berry', u'allspice', u'berry'
1,u'gorgonzola mascarpone', u'gorgonzola', u'mascarpone'
1,u'sweet wine', u'sweet', u'wine'
1,u'paella rice', u'paella', u'rice'
1,u'barley flour', u'barley', u'flour'
1,u'split pea', u'pea'
1,u'sherry vinegar', u'sherry', u'vinegar'
1,u'rice flour', u'rice', u'flour'
1,u'blanc wine', u'blanc', u'wine'
1,u'savory pizza', u'savory', u'pizza'
1,u'muscatel raisin', u'muscatel', u'raisin'
1,u'green chile', u'chile'
1,u'bitter honey', u'honey'
1,u'chocolate graham', u'chocolate', u'graham'
1,u'rib chop', u'rib'
1,u'champagne biscuit', u'champagne', u'biscuit'
1,u'mushroom paste', u'mushroom', u'paste'
1,u'pastry cream', u'pastry', u'cream'
1,u'burger bun', u'burger', u'bun'
1,u'wheat grain', u'wheat', u'grain'
1,u'almond syrup', u'almond', u'syrup'
1,u'rose sauce', u'sauce'
1,u'rosemary honey', u'rosemary', u'honey'
1,u'egg pasta', u'egg', u'pasta'
1,u'gem lettuce', u'gem', u'lettuce'
1,u'pilsner beer', u'pilsner', u'beer'
1,u'olive tapenade', u'olive', u'tapenade'
1,u'green shrimp', u'shrimp'
1,u'rye flour', u'rye', u'flour'
1,u'rice lasagne', u'rice', u'lasagne'
1,u'caramel sauce', u'caramel', u'sauce'
1,u'coconut biscuit', u'coconut', u'biscuit'
1,u'waffle mix', u'waffle', u'mix'
1,u'turkey tenderloin', u'turkey', u'tenderloin'
1,u'table cream', u'table', u'cream'
1,u'veal loin', u'veal', u'loin'
1,u'green cherry', u'cherry'
1,u'almond flour', u'almond', u'flour'
1,u'cheese tortellini', u'cheese', u'tortellini'
1,u'split chickpea', u'chickpea'
1,u'wheat cereal', u'wheat', u'cereal'
1,u'tarragon vinegar', u'tarragon', u'vinegar'
1,u'green garlic', u'garlic'
1,u'rice vermicelli', u'rice', u'vermicelli'
1,u'chocolate cooky', u'chocolate', u'cooky'
1,u'anise liqueur', u'anise', u'liqueur'
1,u'ice wine', u'wine'
1,u'meat ravioli', u'meat', u'ravioli'
1,u'pineapple syrup', u'pineapple', u'syrup'
1,u'dog bun', u'bun'
1,u'pear cider', u'pear', u'cider'
1,u'turkey stock', u'turkey'
1,u'liqueur tokay', u'liqueur', u'tokay'
1,u'chipotle pepper', u'chipotle', u'pepper'
1,u'chile paste', u'chile', u'paste'
1,u'mustard paste', u'mustard', u'paste'
1,u'truffle honey', u'truffle', u'honey'
1,u'anchovy oil', u'anchovy', u'oil'
1,u'meat stock', u'meat'
1,u'raspberry vinegar', u'raspberry', u'vinegar'
1,u'porterhouse pork', u'porterhouse', u'pork'
1,u'daikon radish', u'daikon', u'radish'
1,u'truffle oil', u'truffle', u'oil'
1,u'quail egg', u'quail', u'egg'
1,u'roquefort cheese', u'roquefort', u'cheese'
1,u'prawn stock', u'prawn'
1,u'goose leg', u'goose', u'leg'
1,u'sultana grape', u'sultana', u'grape'
1,u'pea sprout', u'pea', u'sprout'
1,u'cherry liqueur', u'cherry', u'liqueur'
1,u'malmsey wine', u'malmsey', u'wine'
1,u'jack mushroom', u'jack', u'mushroom'
1,u'breakfast sausage', u'breakfast', u'sausage'
1,u'lamb rump', u'lamb', u'rump'
1,u'lamb stock', u'lamb'
1,u'veal schnitzel', u'veal', u'schnitzel'
1,u'olive juice', u'olive', u'juice'
1,u'pomegranate juice', u'pomegranate', u'juice'
1,u'almond meal', u'almond', u'meal'
1,u'green plum', u'plum'
1,u'turkey sausage', u'turkey', u'sausage']
2,u'chinese_parsley', u'cilantro'
2,u'beef_roast', u'roast_beef'
2,u'chile', u'chilli'
2,u'sprout', u'stock'
2,u'cheddar', u'cheddar_cheese'
2,u'jerusalem_artichokes', u'sunchoke'
2,u'black_cherry', u'sweet_cherry'
2,u'ocean_perch', u'redfish'
2,u'fennel', u'florence_fennel'
2,u'artichoke', u'globe_artichoke'
2,u'brittle', u'toffee'
2,u'anise_seed', u'aniseed'
2,u'ascorbic_acid', u'vitamin_c'
2,u'pimiento', u'sweet_pepper'
2,u'cilantro', u'coriander'
2,u'worcester_sauce', u'worcestershire_sauce'
2,u'carbonated_water', u'club_soda'
2,u'cayenne', u'cayenne_pepper'
2,u'navy_bean', u'pea_bean'
2,u'aubergine', u'eggplant'
2,u'endive', u'escarole'
2,u'citrus', u'citrus_fruit'
2,u'dessert', u'sweet'
2,u'black_pepper', u'pepper'
2,u'bream', u'sea_bream'
2,u'coriander', u'coriander_seed'
2,u'cocoa', u'drinking_chocolate'
2,u'chicken_broth', u'chicken_stock'
2,u'chickpea', u'garbanzo'
2,u'courgette', u'zucchini'
2,u'gammon', u'ham'
2,u'egg_white', u'white'
2,u'beef_broth', u'beef_stock'
2,u'vino', u'wine'
2,u'hare', u'rabbit'
2,u'prawn', u'shrimp'
2,u'cumin', u'cumin_seed'
2,u'pea_bean', u'white_bean'
2,u'turnip', u'white_turnip'
2,u'frankfurter', u'hot_dog'
2,u'papaya', u'pawpaw'
